id,token_address,timestamp,moralis_score,top10_holders_percent,experienced_buyers,experienced_sellers,holders_by_swap,holders_by_transfer,total_holders,category
179,8HAMKMPCcY1EtqdbobVSCRHC3CtCBZmcWFZpFm1tmoon,2026-01-23 18:48:54.925825,50,45.23,,,,,,
180,AbmuJjtksyLTcBF57EeMKBXqzTRZPGhTQEiaUFZbQsBT,2026-01-23 18:48:55.864564,45,84.16,,,,,,
181,9a59JPrcpPZ48mGtdFAiBAJQSgw2ZQpKxXySSTrvBAGS,2026-01-23 18:48:57.591758,43,42.78,,,,,,
182,5JQt2JWkmUPLYXsKPAyDwaFFdkT7XgDDzyu4q3cSbonk,2026-01-23 18:48:59.441623,42,44.18,,,,,,
183,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:49:54.410257,44,81.25,,,,,,
184,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:49:55.087340,50,55.43,,,,,,
185,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:49:55.677691,35,100.0,,,,,,
186,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:49:56.383841,50,43.04,,,,,,
187,8HAMKMPCcY1EtqdbobVSCRHC3CtCBZmcWFZpFm1tmoon,2026-01-23 18:49:57.138533,50,45.23,,,,,,
188,AbmuJjtksyLTcBF57EeMKBXqzTRZPGhTQEiaUFZbQsBT,2026-01-23 18:49:57.827512,45,84.16,,,,,,
189,9a59JPrcpPZ48mGtdFAiBAJQSgw2ZQpKxXySSTrvBAGS,2026-01-23 18:49:58.563942,43,42.78,,,,,,
190,5JQt2JWkmUPLYXsKPAyDwaFFdkT7XgDDzyu4q3cSbonk,2026-01-23 18:49:59.219871,42,44.18,,,,,,
